 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.2.13:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 997-347-007
39.7.230.167 - - [24/Dec/2023 11:17:04] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:15] code 400, message Bad request version ('\xadCäPô·Ì\x81æ\x18\x17')
218.158.94.200 - - [24/Dec/2023 11:28:15] "\x16\x03\x01\x02\x00\x01\x00\x01ü\x03\x03\x8ch\x07,`a\x82¿¢¶\x89\x04Â¦tþ\x84\x81_äen\x11\x16\x1a±ßN^'\x02\x16 XÊîè$¯À\x98<\x12ôA»K`i\x0f/õ\x8fsH¿ð\x12'\x95:È6r³\x00 ÚÚ\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x01\x93ªª\x00\x00\x00#\x00\x00\x00\x0d\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x17\x00\x00\x00\x12\x00\x00\x00\x00\x00\x11\x00\x0f\x00\x00\x0calbahr.co.kr\x00\x10\x00\x0e\x00\x0c\x02h2\x08http/1.1\x003\x00+\x00)\x8a\x8a\x00\x01\x00\x00\x1d\x00 ­CäPô·Ì\x81æ\x18\x17" HTTPStatus.BAD_REQUEST -
218.158.94.200 - - [24/Dec/2023 11:28:16] code 400, message Bad request version ('\x0eÆ\x9cfGÛ±\x05O\x10åÚ\x95\x06\x06\x96M¿\\\x00+\x00\x07\x06ªª\x03\x04\x03\x03\x00\x17\x00\x00\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00')
218.158.94.200 - - [24/Dec/2023 11:28:16] "\x16\x03\x01\x02O\x01\x00\x02K\x03\x03\x06¬VÂ($\x9e~$¸\x01%*Z¸\x90\x038\x07\x97\x1el<\x04+P]ÀI\x98\x9e7 \x0d·æy\x1aáå\x9bÈÞ¬ÓÒ*\x93\x0c`ç\x83g\x120«\x1c\x10JÖð¢yP\x03\x00 \x8a\x8a\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x01â::\x00\x00\x00\x12\x00\x00ÿ\x01\x00\x01\x00\x00\x1b\x00\x03\x02\x00\x02\x00#\x00\x00\x00-\x00\x02\x01\x01þ\x0d\x01\x1a\x00\x00\x01\x00\x01î\x00 \x90o£rÍie\x06/9ò¥(»¬í\x1aÒGed\\\x18É\x94¨\x01ä\x15±\x0e9\x00ðÕ\x09d"èi,UG\x81Á\x08ç=*\x0dòY-¯[4\x1bé)Á\x88¶\x95Ã(¦&0v\x11k\\íc(8¿$>\x04\x8aþô vË\x1aíµå\\#\x91\x98ÏPD½\x8aû²Ãñ=v%ÁÇÊ¢7L-¼Q\x88¹0\x1e\x93\x08ë\x04Ý/Ä$MÀ\x87-a4ôÌþÜ\x1eWi²îu\x1a4\x9eCµÛ·§\x1c\x84Ð{\x0c«ßY&×ãÃzP}\x9d§~ü¹X\x18­¯ro¬Z ¸î\x01²a«±\x7fx\x852~\x7f¯\x96\x15ç\x86iëBnÈ×\x92fÉù8aÚÛW%S\x97\x8e8è\x9eá;ôûÖ\x07oî\x1d){î\x1e\x9e\x86\x9e~¾õ\x0c|rg\x1f->,LúÍóµ{Í\x9e\x96\x1f}4\x06"\x8fÚ\x95¶I\x16\x92\x83\x8b\x88è(\x1c\x00\x00\x00\x11\x00\x0f\x00\x00\x0calbahr.co.kr\x00\x0b\x00\x02\x01\x00Di\x00\x05\x00\x03\x02h2\x00\x0d\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x10\x00\x0e\x00\x0c\x02h2\x08http/1.1\x003\x00+\x00)JJ\x00\x01\x00\x00\x1d\x00 V·\x96ô\x89÷d¼Ç\x98M8\x1d\x0eÆ\x9cfGÛ±\x05O\x10åÚ\x95\x06\x06\x96M¿\\\x00+\x00\x07\x06ªª\x03\x04\x03\x03\x00\x17\x00\x00\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00" HTTPStatus.BAD_REQUEST -
218.158.94.200 - - [24/Dec/2023 11:28:16] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:16] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:16] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:16] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:16] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:18] "GET /swagger.json HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:28:18] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
27.0.238.114 - - [24/Dec/2023 11:33:43] "GET / HTTP/1.0" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:40] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:41] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:41] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:41] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:41] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
